,artifact_id,repo_path
144,com.vaynberg.wicket.select25:wicket-select25,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.vaynberg.wicket.select25:wicket-select25
145,net.colesico.framework:colesico-openapi,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/net.colesico.framework:colesico-openapi
146,org.eclipse.digitaltwin.basyx:basyx.aasrepository-feature-mqtt,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.eclipse.digitaltwin.basyx:basyx.aasrepository-feature-mqtt
147,com.araguacaima:orpheus-db-test-jar,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.araguacaima:orpheus-db-test-jar
148,net.hydromatic:eigenbase-xom,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/net.hydromatic:eigenbase-xom
149,com.pastdev:jsch-nio,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.pastdev:jsch-nio
150,io.github.wistefan:gatling-aggregation-maven-plugin,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/io.github.wistefan:gatling-aggregation-maven-plugin
151,de.ralfebert:serialletter,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/de.ralfebert:serialletter
152,nl.42:spring-boot-starter-csv,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/nl.42:spring-boot-starter-csv
153,com.chaschev:chutils,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.chaschev:chutils
154,com.subshell.maven:resolver-maven-plugin,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.subshell.maven:resolver-maven-plugin
155,com.github.dcais:aggra,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.github.dcais:aggra
156,de.athalis.coreasm:coreasm-config,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/de.athalis.coreasm:coreasm-config
157,de.denktmit.testsupport.spring:spring-test-initializers,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/de.denktmit.testsupport.spring:spring-test-initializers
158,net.beardbot:subsonic-client,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/net.beardbot:subsonic-client
159,de.samply:reporter,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/de.samply:reporter
160,org.eclipse.ditto:ditto-model-namespaces,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.eclipse.ditto:ditto-model-namespaces
161,com.github.alaisi.pgasync:postgres-async-driver,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.github.alaisi.pgasync:postgres-async-driver
162,com.lyra:server-rest-sdk,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.lyra:server-rest-sdk
163,br.com.progolden:dne-utils,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/br.com.progolden:dne-utils
164,org.zkoss:zkgooglecharts,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.zkoss:zkgooglecharts
165,com.power4j:idempotent-guard-spring-boot-starter,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.power4j:idempotent-guard-spring-boot-starter
166,io.github.jodavimehran:code-tracker,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/io.github.jodavimehran:code-tracker
167,com.fuzhutech:fuzhutech-mybatis-generator,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.fuzhutech:fuzhutech-mybatis-generator
168,com.theoryinpractise:halbuilder-jaxrs,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.theoryinpractise:halbuilder-jaxrs
169,com.nectify:hornet-connector-java,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.nectify:hornet-connector-java
170,de.powerstat.validation:validation,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/de.powerstat.validation:validation
171,com.github.charithe:functional-java-plus,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.github.charithe:functional-java-plus
172,dev.stratospheric:cdk-constructs,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/dev.stratospheric:cdk-constructs
173,network.oxalis.vefa:peppol-icd,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/network.oxalis.vefa:peppol-icd
174,de.frachtwerk:essencium-backend-storage-module,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/de.frachtwerk:essencium-backend-storage-module
175,com.sqlancer:sqlancer,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.sqlancer:sqlancer
176,de.vandermeer:ascii-utf-themes,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/de.vandermeer:ascii-utf-themes
177,com.abstratt:cloudfier-maven-plugin,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.abstratt:cloudfier-maven-plugin
178,com.sachinhandiekar:jInstagram,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.sachinhandiekar:jInstagram
179,org.kiwiproject:retrying-again,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.kiwiproject:retrying-again
180,com.jamierf.dropwizard:dropwizard-logging-gelf,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.jamierf.dropwizard:dropwizard-logging-gelf
181,br.com.progolden:vraptor-boilerplate-hibernate,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/br.com.progolden:vraptor-boilerplate-hibernate
182,org.swordapp:sword2-client,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.swordapp:sword2-client
183,io.openmessaging:registry-server,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/io.openmessaging:registry-server
184,io.vertx:vertx-zookeeper,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/io.vertx:vertx-zookeeper
185,org.commonjava.maven.plugins:monolith-maven-plugin,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.commonjava.maven.plugins:monolith-maven-plugin
186,cloud.pianola:cdk-fluent-assertions,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/cloud.pianola:cdk-fluent-assertions
